
id,title,subtitle,url,category,order
map-display,Map Display API,"Raster / Vector / Styles",https://developer.tomtom.com/map-display-api/documentation/tomtom-maps/product-information/introduction,maps,10
routing,Routing API,"Routes / Isochrones / Batch",https://developer.tomtom.com/routing-api/documentation/tomtom-maps/product-information/introduction,routing,20
search,Search API,"Fuzzy / Autocomplete",https://developer.tomtom.com/search-api/documentation/product-information/introduction,places,30
traffic,Traffic API,"Flow / Incidents",https://developer.tomtom.com/traffic-api/documentation/tomtom-maps/product-information/introduction,traffic,40
ev-availability,EV Availability,"Charging status",https://developer.tomtom.com/ev-charging-stations-availability-api/documentation/product-information/introduction,ev,50
ev-search,EV Search,"Stations + filters",https://developer.tomtom.com/ev-search-api/documentation/product-information/introduction,ev,60
geocoding,Geocoding API,"Geocode / Reverse",https://developer.tomtom.com/geocoding-api/documentation/product-information/introduction,geocode,70
geofencing,Geofencing API,"※2027/01/31 予定撤去",https://developer.tomtom.com/geofencing-api/documentation/product-information/introduction,logistics,80
api-explorer,API Explorer,"ブラウザで試す",https://developer.tomtom.com/platform/documentation/platform-overview/the-api-explorer,tools,90
